name	ID	manual	auto	checked	blacklisted	is_obsolete
eosinophil migration	GO_0072677	1	1	1	0	0
eosinophil mediated immunity	GO_0002447	1	1	1	0	0
eosinophil fate specification	GO_0035857	1	1	1	0	0
eosinophil fate determination	GO_0035858	1	1	1	0	0
eosinophil extravasation	GO_0072682	1	1	1	0	0
eosinophil differentiation	GO_0030222	1	1	1	0	0
eosinophil degranulation	GO_0043308	1	1	1	0	0
eosinophil activation	GO_0043307	1	1	1	0	0
regulation of eosinophil migration	GO_2000416	1	0	1	0	0
regulation of eosinophil extravasation	GO_2000419	1	0	1	0	0
regulation of eosinophil differentiation	GO_0045643	1	0	1	0	0
regulation of eosinophil degranulation	GO_0043309	1	0	1	0	0
positive regulation of eosinophil migration	GO_2000418	1	0	1	0	0
positive regulation of eosinophil extravasation	GO_2000421	1	0	1	0	0
positive regulation of eosinophil differentiation	GO_0045645	1	0	1	0	0
positive regulation of eosinophil degranulation	GO_0043311	1	0	1	0	0
negative regulation of eosinophil migration	GO_2000417	1	0	1	0	0
negative regulation of eosinophil extravasation	GO_2000420	1	0	1	0	0
negative regulation of eosinophil differentiation	GO_0045644	1	0	1	0	0
negative regulation of eosinophil degranulation	GO_0043310	1	0	1	0	0
eosinophil fate commitment	GO_0035854	1	0	1	0	0
eosinophil chemotaxis	GO_0048245	0	1	0	0	0
eosinophil activation involved in immune response	GO_0002278	0	1	0	0	0
