name	ID	manual	auto	checked	blacklisted	is_obsolete
organic acid phosphorylation	GO_0031388	1	1	1	0	0
organic acid metabolic process	GO_0006082	1	1	1	0	0
organic acid catabolic process	GO_0016054	1	1	1	0	0
organic acid biosynthetic process	GO_0016053	1	1	1	0	0
organic acid transport	GO_0015849	1	0	1	0	0
xenobiotic glucuronidation	GO_0052697	0	1	1	0	0
wall teichoic acid biosynthetic process	GO_0070398	0	1	1	0	0
very long-chain fatty acid metabolic process	GO_0000038	0	1	1	0	0
very long-chain fatty acid catabolic process	GO_0042760	0	1	1	0	0
very long-chain fatty acid biosynthetic process	GO_0042761	0	1	1	0	0
valyl-tRNA aminoacylation	GO_0006438	0	1	1	0	0
valine metabolic process	GO_0006573	0	1	1	0	0
valine catabolic process to isobutanol	GO_1902697	0	1	1	0	0
valine catabolic process	GO_0006574	0	1	1	0	0
valine biosynthetic process	GO_0009099	0	1	1	0	0
uroporphyrinogen III metabolic process	GO_0046502	0	1	1	0	0
uroporphyrinogen III biosynthetic process	GO_0006780	0	1	1	0	0
uronic acid metabolic process	GO_0006063	0	1	1	0	0
urate metabolic process	GO_0046415	0	1	1	0	0
urate catabolic process	GO_0019628	0	1	1	0	0
urate biosynthetic process	GO_0034418	0	1	1	0	0
unsaturated monocarboxylic acid metabolic process	GO_0032789	0	1	1	0	0
unsaturated fatty acid metabolic process	GO_0033559	0	1	1	0	0
unsaturated fatty acid biosynthetic process	GO_0006636	0	1	1	0	0
ubiquinone biosynthetic process from tyrosine	GO_0032180	0	1	1	0	0
ubiquinone biosynthetic process from chorismate	GO_0032150	0	1	1	0	0
tyrosyl-tRNA aminoacylation	GO_0006437	0	1	1	0	0
tyrosine phosphorylation of Stat7 protein	GO_0042507	0	1	0	0	0
tyrosine phosphorylation of Stat6 protein	GO_0042505	0	1	0	0	0
tyrosine phosphorylation of Stat5 protein	GO_0042506	0	1	0	0	0
tyrosine phosphorylation of Stat4 protein	GO_0042504	0	1	0	0	0
tyrosine phosphorylation of Stat3 protein	GO_0042503	0	1	0	0	0
tyrosine phosphorylation of Stat2 protein	GO_0042502	0	1	0	0	0
tyrosine phosphorylation of Stat1 protein	GO_0042508	0	1	0	0	0
tyrosine phosphorylation of STAT protein	GO_0007260	0	1	0	0	0
tyrosine metabolic process	GO_0006570	0	1	1	0	0
tyrosine catabolic process to phosphoenolpyruvate	GO_0019446	0	1	1	0	0
tyrosine catabolic process to fumarate	GO_0019445	0	1	1	0	0
tyrosine catabolic process	GO_0006572	0	1	1	0	0
tyrosine biosynthetic process, by oxidation of phenylalanine	GO_0019293	0	1	1	0	0
tyrosine biosynthetic process from chorismate via L-arogenate	GO_0033584	0	1	1	0	0
tyrosine biosynthetic process from chorismate via 4-hydroxyphenylpyruvate	GO_0019292	0	1	1	0	0
tyrosine biosynthetic process	GO_0006571	0	1	1	0	0
tungsten incorporation via L-selenocysteinyl tungsten bis(molybdopterin guanine dinucleotide)	GO_0051218	0	1	0	0	0
tryptophanyl-tRNA aminoacylation	GO_0006436	0	1	1	0	0
tryptophan-independent indoleacetic acid biosynthetic process	GO_0009849	0	1	1	0	0
tryptophan metabolic process	GO_0006568	0	1	1	0	0
tryptophan catabolic process to kynurenine	GO_0019441	0	1	1	0	0
tryptophan catabolic process to indole-3-acetate	GO_0019440	0	1	1	0	0
tryptophan catabolic process to catechol	GO_0019444	0	1	1	0	0
tryptophan catabolic process to acetyl-CoA	GO_0019442	0	1	1	0	0
tryptophan catabolic process	GO_0006569	0	1	1	0	0
tryptophan biosynthetic process	GO_0000162	0	1	1	0	0
trisporic acid metabolic process	GO_0046841	0	1	1	0	0
trisporic acid biosynthetic process	GO_0046842	0	1	1	0	0
tricarboxylic acid metabolic process	GO_0072350	0	1	1	0	0
tricarboxylic acid catabolic process	GO_0072352	0	1	1	0	0
tricarboxylic acid biosynthetic process	GO_0072351	0	1	1	0	0
transsulfuration	GO_0019346	0	1	1	0	0
transport-coupled glycolytic process through glucose-6-phosphate	GO_0061633	0	1	1	0	0
toluene-4-sulfonate metabolic process	GO_0018972	0	1	1	0	0
toluene-4-sulfonate catabolic process	GO_0046269	0	1	1	0	0
thyroid hormone metabolic process	GO_0042403	0	1	1	0	0
thyroid hormone generation	GO_0006590	0	1	1	0	0
thyroid hormone catabolic process	GO_0042404	0	1	1	0	0
threonyl-tRNA aminoacylation	GO_0006435	0	1	1	0	0
threonine metabolic process	GO_0006566	0	1	1	0	0
threonine catabolic process	GO_0006567	0	1	1	0	0
threonine biosynthetic process	GO_0009088	0	1	1	0	0
