name	ID	manual	auto	checked	blacklisted	is_obsolete
spinal cord motor neuron differentiation	GO_0021522	1	1	1	0	0
spinal cord motor neuron cell fate specification	GO_0021520	1	1	1	0	0
spinal cord development	GO_0021510	1	1	1	0	0
spinal cord commissural neuron specification	GO_0021518	1	1	1	0	0
spinal cord association neuron specification	GO_0021519	1	1	1	0	0
spinal cord association neuron differentiation	GO_0021527	1	1	1	0	0
spinal trigeminal nucleus development	GO_0021741	1	0	1	0	0
spinal cord ventral commissure morphogenesis	GO_0021965	1	0	1	0	0
spinal cord patterning	GO_0021511	1	0	1	0	0
spinal cord dorsal/ventral patterning	GO_0021513	1	0	1	0	0
spinal cord anterior/posterior patterning	GO_0021512	1	0	1	0	0
visceral motor neuron differentiation	GO_0021524	0	1	0	0	0
ventral spinal cord interneuron specification	GO_0021521	0	1	0	0	0
ventral spinal cord interneuron fate determination	GO_0060580	0	1	0	0	0
ventral spinal cord interneuron fate commitment	GO_0060579	0	1	0	0	0
ventral spinal cord interneuron differentiation	GO_0021514	0	1	0	0	0
spinal cord radial glial cell differentiation	GO_0021531	0	1	0	0	0
spinal cord oligodendrocyte cell fate specification	GO_0021530	0	1	0	0	0
spinal cord oligodendrocyte cell differentiation	GO_0021529	0	1	0	0	0
somatic motor neuron fate commitment	GO_0021917	0	1	0	0	0
somatic motor neuron differentiation	GO_0021523	0	1	0	0	0
smoothened signaling pathway involved in ventral spinal cord interneuron specification	GO_0021775	0	1	0	0	0
smoothened signaling pathway involved in spinal cord motor neuron cell fate specification	GO_0021776	0	1	0	0	0
retinoic acid receptor signaling pathway involved in ventral spinal cord interneuron specification	GO_0021774	0	1	0	0	0
regulation of transcription from RNA polymerase II promoter involved in ventral spinal cord interneuron specification	GO_0021913	0	1	0	0	0
regulation of transcription from RNA polymerase II promoter involved in spinal cord motor neuron fate specification	GO_0021912	0	1	0	0	0
regulation of transcription from RNA polymerase II promoter involved in spinal cord association neuron specification	GO_0021920	0	1	0	0	0
regulation of transcription from RNA polymerase II promoter involved in somatic motor neuron fate commitment	GO_0021918	0	1	0	0	0
medial motor column neuron differentiation	GO_0021526	0	1	0	0	0
lateral motor column neuron differentiation	GO_0021525	0	1	0	0	0
inductive cell-cell signaling between paraxial mesoderm and motor neuron precursors	GO_0021916	0	1	0	0	0
commissural neuron differentiation in spinal cord	GO_0021528	0	1	0	0	0
cell proliferation in dorsal spinal cord	GO_0010456	0	1	0	0	0
cell differentiation in spinal cord	GO_0021515	0	1	0	0	0
BMP signaling pathway involved in spinal cord association neuron specification	GO_0021777	0	1	0	0	0
