name	ID	manual	auto	checked	blacklisted	is_obsolete
response to insulin	GO_0032868	1	0	1	0	0
regulation of insulin-like growth factor receptor signaling pathway	GO_0043567	1	0	1	0	0
regulation of insulin secretion	GO_0050796	1	0	1	0	0
regulation of insulin receptor signaling pathway	GO_0046626	1	0	1	0	0
regulation of cellular response to insulin stimulus	GO_1900076	1	0	1	0	0
positive regulation of insulin-like growth factor receptor signaling pathway	GO_0043568	1	0	1	0	0
positive regulation of insulin secretion	GO_0032024	1	0	1	0	0
positive regulation of insulin receptor signaling pathway by insulin receptor internalization	GO_0038015	1	0	1	0	0
positive regulation of insulin receptor signaling pathway	GO_0046628	1	0	1	0	0
positive regulation of cellular response to insulin stimulus	GO_1900078	1	0	1	0	0
phosphatidylinositol 3-kinase cascade involved in insulin receptor signaling	GO_0035558	1	0	1	1	1
negative regulation of insulin-like growth factor receptor signaling pathway	GO_0043569	1	0	1	0	0
negative regulation of insulin secretion	GO_0046676	1	0	1	0	0
negative regulation of insulin receptor signaling pathway by insulin receptor internalization	GO_0038014	1	0	1	0	0
negative regulation of insulin receptor signaling pathway	GO_0046627	1	0	1	0	0
negative regulation of cellular response to insulin stimulus	GO_1900077	1	0	1	0	0
insulin	GO_0016088	1	0	1	1	1
cellular response to insulin stimulus	GO_0032869	1	0	1	0	0
insulin-activated receptor activity	GO_0005009	0	1	0	0	0
insulin secretion involved in cellular response to glucose stimulus	GO_0035773	0	1	0	0	0
insulin secretion	GO_0030073	0	1	0	0	0
