name	ID	manual	auto	checked	blacklisted	is_obsolete
vesicle-mediated transport involved in floral organ abscission	GO_0060858	1	1	1	0	0
vesicle-mediated transport	GO_0016192	1	1	1	0	0
vesicle transport along microtubule	GO_0047496	1	1	1	0	0
vesicle transport along actin filament	GO_0030050	1	1	1	0	0
vesicle targeting, trans-Golgi to endosome	GO_0048203	1	1	1	0	0
vesicle targeting, to, from or within Golgi	GO_0048199	1	1	1	0	0
vesicle targeting, rough ER to cis-Golgi	GO_0048207	1	1	1	0	0
vesicle targeting, plasma membrane to endosome	GO_0048201	1	1	1	0	0
vesicle targeting, inter-Golgi cisterna	GO_0048204	1	1	1	0	0
vesicle targeting, cis-Golgi to rough ER	GO_0048206	1	1	1	0	0
vesicle targeting to fusome	GO_0045479	1	1	1	0	0
vesicle organization	GO_0016050	1	1	1	0	0
vesicle localization	GO_0051648	1	1	1	0	0
vesicle fusion with vacuole	GO_0051469	1	1	1	0	0
vesicle fusion with peroxisome	GO_0019817	1	1	1	0	0
vesicle fusion with nuclear membrane involved in mitotic nuclear envelope reassembly	GO_0007086	1	1	1	0	0
vesicle fusion with endoplasmic reticulum	GO_0048279	1	1	1	0	0
vesicle fusion with Golgi apparatus	GO_0048280	1	1	1	0	0
vesicle fusion	GO_0006906	1	1	1	0	0
vesicle coating	GO_0006901	1	1	1	0	0
vesicle-mediated cholesterol transport	GO_0090119	1	0	1	0	0
vesicle uncoating	GO_0072319	1	0	1	0	0
vesicle transport	GO_0006905	1	0	1	1	1
vesicle targeting	GO_0006903	1	0	1	0	0
vesicle docking involved in exocytosis	GO_0006904	1	0	1	0	0
vesicle docking	GO_0048278	1	0	1	0	0
zymogen granule membrane	GO_0042589	0	1	0	0	0
zymogen granule exocytosis	GO_0070625	0	1	0	0	0
zymogen granule	GO_0042588	0	1	0	0	0
virion transport vesicle	GO_0046816	0	1	0	0	0
viral budding via host ESCRT complex	GO_0039702	0	1	0	0	0
viral budding from plasma membrane	GO_0046761	0	1	0	0	0
viral budding from outer nuclear membrane	GO_0046772	0	1	0	0	0
viral budding from nuclear membrane	GO_0046765	0	1	0	0	0
viral budding from inner nuclear membrane	GO_0046771	0	1	0	0	0
viral budding from Golgi membrane	GO_0046760	0	1	0	0	0
viral budding from ER membrane	GO_0046762	0	1	0	0	0
viral budding	GO_0046755	0	1	0	0	0
vesicle membrane	GO_0012506	0	1	0	0	0
vesicle lumen	GO_0031983	0	1	0	0	0
vesicle coat	GO_0030120	0	1	0	0	0
vesicle	GO_0031982	0	1	0	0	0
very-low-density lipoprotein particle clearance	GO_0034447	0	1	0	0	0
ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway	GO_0090611	0	1	0	0	0
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	GO_0043162	0	1	0	0	0
ubiquitin-dependent endocytosis	GO_0070086	0	1	0	0	0
triglyceride-rich lipoprotein particle clearance	GO_0071830	0	1	0	0	0
transport vesicle membrane	GO_0030658	0	1	0	0	0
transport vesicle lumen	GO_0098566	0	1	0	0	0
transport vesicle	GO_0030133	0	1	0	0	0
transcytosis	GO_0045056	0	1	0	0	0
trans-Golgi network transport vesicle membrane	GO_0012510	0	1	0	0	0
trans-Golgi network transport vesicle lumen	GO_0098564	0	1	0	0	0
trans-Golgi network transport vesicle	GO_0030140	0	1	0	0	0
tertiary granule membrane	GO_0070821	0	1	0	0	0
tertiary granule	GO_0070820	0	1	0	0	0
syndecan-syntenin-ALIX complex	GO_1990562	0	1	0	0	0
synaptic vesicle transport	GO_0048489	0	1	0	0	0
synaptic vesicle to endosome fusion	GO_0016189	0	1	0	0	0
synaptic vesicle targeting	GO_0016080	0	1	0	0	0
synaptic vesicle recycling via endosome	GO_0036466	0	1	0	0	0
synaptic vesicle recycling	GO_0036465	0	1	0	0	0
synaptic vesicle protein transport vesicle	GO_0097547	0	1	0	0	0
synaptic vesicle membrane	GO_0030672	0	1	0	0	0
synaptic vesicle maturation	GO_0016188	0	1	0	0	0
synaptic vesicle lumen acidification	GO_0097401	0	1	0	0	0
synaptic vesicle lumen	GO_0034592	0	1	0	0	0
synaptic vesicle localization	GO_0097479	0	1	0	0	0
synaptic vesicle fusion to presynaptic membrane	GO_0031629	0	1	0	0	0
synaptic vesicle exocytosis	GO_0016079	0	1	0	0	0
synaptic vesicle endocytosis	GO_0048488	0	1	0	0	0
synaptic vesicle coating	GO_0016183	0	1	0	0	0
synaptic vesicle clustering	GO_0097091	0	1	0	0	0
synaptic vesicle budding from presynaptic membrane	GO_0016185	0	1	0	0	0
synaptic vesicle budding from endosome	GO_0016182	0	1	0	0	0
synaptic vesicle budding	GO_0070142	0	1	0	0	0
synaptic vesicle amine transport	GO_0015842	0	1	0	0	0
synaptic vesicle	GO_0008021	0	1	0	0	0
symbiosome	GO_0043659	0	1	0	0	0
sperm entry	GO_0035037	0	1	0	0	0
sperm cytoplasmic droplet	GO_0097598	0	1	0	0	0
specific granule membrane	GO_0035579	0	1	0	0	0
specific granule lumen	GO_0035580	0	1	0	0	0
specific granule	GO_0042581	0	1	0	0	0
slow endocytic recycling	GO_0032458	0	1	0	0	0
single-organism pinocytosis	GO_1902536	0	1	0	0	0
single-organism micropinocytosis	GO_1902540	0	1	0	0	0
single-organism membrane budding	GO_1902591	0	1	0	0	0
single-organism macropinocytosis	GO_1902538	0	1	0	0	0
secretory granule organization	GO_0033363	0	1	0	0	0
secretory granule membrane	GO_0030667	0	1	0	0	0
secretory granule lumen	GO_0034774	0	1	0	0	0
secretory granule localization	GO_0032252	0	1	0	0	0
secretory granule	GO_0030141	0	1	0	0	0
retrograde vesicle-mediated transport, Golgi to ER	GO_0006890	0	1	0	0	0
retrograde transport, vesicle recycling within Golgi	GO_0000301	0	1	0	0	0
retrograde transport, plasma membrane to Golgi	GO_0035526	0	1	0	0	0
retrograde transport, endosome to plasma membrane	GO_1990126	0	1	0	0	0
retrograde transport, endosome to Golgi	GO_0042147	0	1	0	0	0
retrograde synaptic vesicle transport	GO_0048491	0	1	0	0	0
retrograde dense core granule transport	GO_1990049	0	1	0	0	0
regulation of signal transduction by receptor internalization	GO_0038009	0	1	0	0	0
regulated secretory pathway	GO_0045055	0	1	0	0	0
recycling endosome to Golgi transport	GO_0071955	0	1	0	0	0
receptor-mediated endocytosis of virus by host cell	GO_0019065	0	1	0	0	0
